Club Rank,Club Name,Club Points
1983,Nchanga Rangers,1259
1984,Najran SC,1259
1985,Siófok,1259
1986,Njube Sundowns,1259
1987,El Raja,1259
1988,Entente Sportive du Bafing,1259
1989,FC Maktaaral,1259
1990,Yokohama FC,1259
1991,Tavriia,1259
1992,Unirea Alba Iulia,1259
1993,Akzhaiyk Uralsk,1259
1994,Příbram,1259
1995,Petržalka,1259
1996,AS-FAN,1259
1997,Pirae,1259
1998,Al Fallah Atbara FC,1259
1999,FC Arsenal Dzerzhinsk,1259
2000,FK Auda,1258
2001,FK Metalac,1258
2002,JEF United,1258
2003,KAC Kénitra,1258
2004,Angostura FC,1258
2005,PSS Sleman,1258
2006,Hasaacas,1258
2007,Hobro,1258
2008,Jocoro FC,1258
2009,R.F.C. Seraing,1258
2010,Gabès,1258
2011,Police United FC,1258
2012,Central Sport,1257
2013,Čelik Zenica,1257
2014,Al Sharkeyah,1257
2015,AS Bamako,1257
2016,FK Horizont Turnovo,1257
2017,Eleven Wonders FC,1257
2018,Liga Muçulmana,1257
2019,AL Safa,1257
2020,J.S. Groupe Bazano,1257
2021,Ballymena United,1257
2022,Inter Allies FC,1257
2023,Neftochimic Burgas 1962,1257
2024,Chennaiyin FC,1257
2025,Universitario,1257
2026,FK Zvijezda 09,1257
2027,Siquinalá FC,1256
2028,Yobe Desert Stars,1256
2029,Admira Wacker Mödling,1256
2030,Sepidrood Rasht SC,1256
2031,Gaitcha FCN,1256
2032,Helsingborgs IF,1256
2033,Barito Putera,1256
2034,Kongsvinger,1256
2035,Ocean Pacifique,1256
2036,Denizlispor,1256
2037,Viettel Football Club,1256
2038,Amidaus Professionals FC,1255
2039,CS Hammam-Lif,1255
2040,King Faisal,1255
2041,Yanbian,1255
2042,Nafta,1255
2043,Gaborone United,1255
2044,Tallinna JK Legion,1255
2045,FK Bokelj,1255
2046,Solomon Warriors FC,1255
2047,Ittihad Zemouri de Khemisset,1255
2048,Sandnes,1255
2049,CA Batna,1255
2050,FK Kaspiy Aktau,1255
2051,ABM Galaxy FC,1255
2052,Mumbai FC,1255
2053,Kerala Blasters FC,1255
2054,Teungueth FC,1255
2055,Mladi Radnik,1255
2056,Persis Solo,1255
2057,Lamia,1255
2058,Arcahaie FC,1254
2059,El Mansura,1254
2060,Okzhetpes Kokshetau,1254
2061,Crown FC,1254
2062,Nkoyi Bilombe,1254
2063,RC Relizane,1254
2064,Aswan FC,1254
2065,FC Telavi,1254
2066,Al-Ain FC,1254
2067,Sahel,1254
2068,MFK Tatran Liptovský Mikuláš,1254
2069,Ankaran Hrvatini,1254
2070,Ceahlăul Piatra,1254
2071,Mogren,1254
2072,AS Puma Generaleňa,1254
2073,Santa Gema FC,1254
2074,Likasi,1254
2075,Doxa Dramas,1254
2076,Samartex,1254
2077,Cobresol,1254
2078,Dinamo Vranje,1253
2079,Sportul Studentesc,1253
2080,Akritas Chlorakas,1253
2081,Al-Markhiya Sports Club,1253
2082,Gornik Leczna,1253
2083,Canon Buromeca,1253
2084,AL Shorta SC,1253
2085,Scorpion FC de Bé,1253
2086,FK Arsenal Tivat,1253
2087,FK Turan Turkistan,1253
2088,Panthrakikos Komotini,1253
2089,EO Sidi Bouzid,1253
2090,Sriracha,1253
2091,El Minya,1253
2092,Persema Malang,1253
2093,Portuguesa FC,1253
2094,Merreikh Nyala,1253
2095,TRAU F.C.,1253
2096,APOP / Kinyras,1253
2097,Union Deportivo Universitario,1252
2098,Tom' Tomsk,1252
2099,USGN,1252
2100,Saraburi FC,1252
2101,Rad Beograd,1252
2102,Spartak Semey,1252
2103,Zagłębie Sosnowiec,1252
2104,Partizani Tirana,1252
2105,Gigira Laitepo,1252
2106,Tsholotsho,1252
2107,Zimbabwe Saints,1252
2108,Young Africans,1252
2109,Rangdajied United,1252
2110,Hapoel Kfar Saba,1252
2111,PA Sambizanga,1252
2112,Cosmos de Bafia,1252
2113,Ħamrun Spartans,1251
2114,Ibanda Sport,1251
2115,Limerick,1251
2116,UWI FC,1251
2117,Sandefjord Football,1251
2118,AS Police,1251
2119,Lamphun Warrior,1251
2120,Rajasthan United,1251
2121,Dragon de Yaoundé,1251
2122,ONGC FC,1251
2123,Mighty Jets,1251
2124,Ajman Club,1251
2125,SKN Sankt Pölten,1251
2126,GFK Tikvesh,1251
2127,NA Hussein Dey,1251
2128,Kokand 1912,1251
2129,Kabasha,1251
2130,Marek Dupnitsa,1251
2131,Social Sol,1251
2132,Budafoki MTE,1250
2133,Rudar Velenje,1250
2134,Sektzia Ness Ziona FC,1250
2135,Yeni Malatyaspor,1250
2136,Kaloum Star,1250
2137,LLB Académic,1250
2138,Olympic Club,1250
2139,FK Šilas,1250
2140,AS Nyuki de Butembo,1250
2141,Highway,1250
2142,Nord Sport,1250
2143,H&H Export Sébaco FC,1250
2144,Ahal FK,1250
2145,Persiram Raja Ampat,1250
2146,Tuti SC Khartoum,1250
2147,Aïn Fakroun,1250
2148,Etoile du Kivu,1250
2149,Miramar Misiones,1250
2150,Nembe City FC,1250
2151,Platense,1250
2152,Independiente FC,1250
2153,Sabé,1250
2154,Diables Noirs,1250
2155,FK Sloga Doboj,1249
2156,CSMS Iaşi,1249
2157,Township Rollers,1249
2158,Yadah FC,1249
2159,Qizilqum Zarafshon,1249
2160,Suva,1249
2161,Sunkar,1249
2162,KF Tirana,1249
2163,Rayo Zuliano,1249
2164,C.D. Lunda Sul,1249
2165,Gaz Metan Mediaş,1249
2166,Ararat-Armenia FC,1249
2167,Lincoln Red Imps FC,1249
2168,Progresso Associação do Sambizanga,1249
2169,Deportivo Savio,1249
2170,AS Kasserine,1249
2171,Young Green Eagles,1249
2172,Azam,1249
2173,FC Alashkert,1249
2174,Wad Nubawi Khartoum FC,1249
2175,Bouaké FC,1249
2176,AC Kuya Sport,1249
2177,Nkwazi,1249
2178,Radomlje,1248
2179,Sliven,1248
2180,Metalleghe BSI,1248
2181,Nsoatreman FC,1248
2182,El Dorado,1248
2183,Al Quwa Al Jawiya,1248
2184,FK Kom Podgorica,1248
2185,Zestafoni,1248
2186,US Panda B5,1248
2187,FC Lubumbashi sport,1248
2188,Uniao Sport Clube do Uige,1248
2189,Wad Hashim SC Sennar,1248
2190,Kuwait SC,1248
2191,Tamme Auto,1248
2192,Molunge,1247
2193,Juventud Escuintleca,1247
2194,Pelita Bandung Raya,1247
2195,Mitra Kukar,1247
2196,CS Fola Esch,1247
2197,Warrior,1247
2198,Neftchi,1247
2199,Vipers SC,1247
2200,Verdes FC,1247
2201,La U Universitarios,1247
2202,JCT FC,1247
2203,CD Chalatenango,1247
2204,Platanias,1247
2205,Universidad Central de Venezuela FC,1247
2206,Krumkachy Minsk,1247
2207,Dewa United F.C.,1247
2208,Cunupia FC,1247
2209,Stjarnan,1247
2210,Tamale City,1247
2211,Deportivo Zulia,1246
2212,Ranchers Bees,1246
2213,Haverfordwest County,1246
2214,FK Jerv,1246
2215,Ha Noi TT,1246
2216,Gran Valencia FC,1246
2217,UMECIT FC,1246
2218,APEP,1246
2219,Persita Tangerang,1246
2220,CSyD Carchá,1246
2221,Papua New Guinea U20,1246
2222,Togo-Port,1246
2223,NK Igman Konjic,1246
2224,AS Nianan,1246
2225,Akademik Sofia,1246
2226,Asyut Petrol,1246
2227,FC Pasching,1246
2228,FC Kapaz,1246
2229,Shabab Al-Aqaba Club,1245
2230,Persikabo 1973 (INA),1245
2231,Al Qadsia,1245
2232,Levadiakos,1245
2233,Petro Souths,1245
2234,Club Olympique de Médenine,1245
2235,Flame Lilly,1245
2236,Mash'al Muborak,1245
2237,Eleven Wise,1245
2238,DSK Shivajians,1245
2239,Differdange 03,1245
2240,Olympique de Missira,1245
2241,NAPSA Stars FC,1245
2242,Atlético do Namibe,1245
2243,Underhill,1245
2244,Deportivo Mixco,1245
2245,Diaraf,1244
2246,FC MK,1244
2247,GD Escolinha Isaac de Benguela,1244
2248,Al-Ahli Atbara,1244
2249,MSP Batna,1244
2250,Persijap Jepara,1244
2251,Ubon UMT FC,1244
2252,Lae City Dwellers,1244
2253,Binh Duong,1244
2254,Tiare Tahiti,1244
2255,Pontypridd Town,1244
2256,Tokushima Vortis,1244
2257,Adzopé,1244
2258,Mjøndalen IF,1244
2259,Saint-Clément,1243
2260,Tempête,1243
2261,Kukesi,1243
2262,Marist,1243
2263,Point Fortin FC,1243
2264,Mbabane Swallows,1243
2265,Araz PFK,1243
2266,Forge FC,1243
2267,Szolnoki MÁV,1243
2268,El Nasr Tadeen,1243
2269,Sportist Svoge,1243
2270,Erakor Golden Star,1243
2271,Vostok,1243
2272,Shabab El Bourj SC,1243
2273,FC Simba,1243
2274,Santos de Angola,1243
2275,FK Mladost Doboj Kakanj,1242
2276,Muungano,1242
2277,Alkali Nassara,1242
2278,FK Gorno Lisice,1242
2279,Concordia Chiajna,1242
2280,CD Audaz,1242
2281,Mont Bleu,1242
2282,Yafoot FC Yaounde 2,1242
2283,Skalica,1242
2284,Lajong SC,1242
2285,Kalyani Bharat FC,1242
2286,GD Baixa de Kassanje,1242
2287,Interblock,1242
2288,Haskovo 2009,1242
2289,Al-Khor,1241
2290,NK Zagreb,1241
2291,Kazakhmys,1241
2292,FH Hafnarfjordur,1241
2293,Moossou FC,1241
2294,Roan United,1241
2295,Wassaman United,1241
2296,JSK Chabab Kasba Tadla,1241
2297,Sabana de Mopti,1241
2298,AC Mamahira,1241
2299,FC Renaissance du Congo,1241
2300,Espoir,1241
2301,Partizan Minsk,1241
2302,Naft Masjed Soleyman FC,1241
2303,FC Spicul Chișcăreni,1241
2304,Ndoki ya Ndombe,1241
2305,Al Bataeh Club,1241
2306,Standard,1241
2307,Dragón,1241
2308,PAEEK,1240
2309,Al Batin,1240
2310,Rewa,1240
2311,Dunfermline Athletic,1240
2312,Ouragahio,1240
2313,Gahar Zagros,1240
2314,Cranborne Bullets FC,1240
2315,Armed Forces,1240
2316,Tiburones Rojos de Veracruz,1240
2317,NK Krsko,1240
2318,FK Atlantas,1240
2319,Coatepeque,1240
2320,Deltras Sidoarjo,1240
2321,Wexford Youths,1240
2322,Maverly Hughenden FC,1240
2323,Al Ahly Merowe,1239
2324,Racing de Casablanca,1239
2325,Nakhon Pathom,1239
2326,FK Bregalnica Stip,1239
2327,ASM Oran,1239
2328,Tafea FC,1239
2329,FK Zlatibor Čajetina,1238
2330,Mansheyat Bani Hasan,1238
2331,Kober SC Bahri,1238
2332,PSMS,1238
2333,Misr El Makasa,1238
2334,Socozaki,1238
2335,Sportive de Djerba,1238
2336,Jwaneng Galaxy FC,1238
2337,FC Gagra,1238
2338,AC Rangers,1238
2339,Meshki Pooshan Football Club,1238
2340,Cibalia,1237
2341,AFC Eskilstuna,1237
2342,Hardbody,1237
2343,Bukavu Dawa,1237
2344,Lyn,1237
2345,Veraguas FC,1237
2346,Bellinzona,1237
2347,Bray Wanderers,1237
2348,Germinal Beerschot,1237
2349,Beijing Renhe,1237
2350,Perseru Badak Lampung,1237
2351,CD Real de Minas,1236
2352,Sudeva Delhi FC,1236
2353,Saurimo FC,1236
2354,Chiangmai FC,1236
2355,Cibao,1236
2356,Bulawayo City FC,1236
2357,Roumde Adjia,1236
2358,Villa Espanola,1236
2359,Prestatyn Town FC,1236
2360,Airbus UK Broughton FC,1236
2361,Malampa Revivors FC,1236
2362,Kenkre FC,1235
2363,Nikao Sokattak,1235
2364,Al-Shahania S.C.,1235
2365,Deportivo Las Sabanas,1235
2366,Dongo,1235
2367,Kfarsoum,1235
2368,Hamilton Academical,1235
2369,AS Avenir de Tombouctou,1235
2370,CO Bouafle,1235
2371,Al-Hilal Alsahil,1235
2372,Eastern Sports Club,1235
2373,Al-Zoma Khartoum,1235
2374,Ferroviário Do Huambo,1235
2375,Malekesa,1234
2376,Speranţa Crihana,1234
2377,Saint-Luc,1234
2378,Babeti ya Sika,1234
2379,Santa Rita de Cássia FC,1234
2380,Khorfakkan Club,1234
2381,HIFK,1234
2382,Jyvaskyla JK,1234
2383,Kafue Celtic,1234
2384,FC Masr,1234
2385,Yopougon FC,1234
2386,FC Helsingør,1234
2387,ND Triglav,1233
2388,Hiré,1233
2389,Valencia de Leogane,1233
2390,FC Edmonton,1233
2391,Olimpik Sarajevo,1233
2392,Hapoel Ramat Gan,1233
2393,North Eastern Re Organising Cultural Association,1233
2394,Gloria Bistrita,1233
2395,Al Ahli Wad Medani,1233
2396,Kapfenberger SV,1233
2397,TTM Chiangmai,1233
2398,Merikh Kosti,1233
2399,Shenzhen FC,1233
2400,Montedio Yamagata,1232
2401,Lusaka Dynamos,1232
2402,Club Sando,1232
2403,Mgaear Al Sarhan,1232
2404,Hapoel Ra'anana,1232
2405,Cavaly,1232
2406,WaiBOP United,1232
2407,Guangzhou City F.C.,1232
2408,Hapoel Ironi Akko,1232
2409,Lovćen,1232
2410,Puaikura,1232
2411,ASK Dragão do Uíge,1232
2412,Ndjadi,1232
2413,FC Pune City,1232
2414,AEZ Zakakiou,1232
2415,Matiti Mabe,1231
2416,CS Makiso,1231
2417,Nkoy,1231
2418,CS Mioveni,1231
2419,Lumwana Radiants,1231
2420,Maccabi Ahi Nazareth,1231
2421,Trelleborgs FF,1231
2422,Jamshedpur FC,1231
2423,Hilal El-Fasher,1231
2424,Indígenas de Matagalpa,1231
2425,Zumunta,1231
2426,PK-35 Vantaa,1231
2427,RANS Nusantara F.C.,1231
2428,Dauphins Noirs,1230
2429,FK Senica,1230
2430,Chirag Kerala,1230
2431,Kalteng Putra,1230
2432,Bantu Rovers,1230
2433,Start,1230
2434,Liaoning Hongyun,1230
2435,Al-Jalil,1230
2436,Tasman United,1230
2437,Jeunesse Sportive de Kinshasa,1230
2438,Al Amir,1230
2439,Lampang FC,1230
2440,FK Borec Veles,1230
2441,Nacional de Benguela,1230
2442,Syrianska,1229
2443,Chambishi FC,1229
2444,Khonkaen,1229
2445,Kotoku Royals,1229
2446,FK Turon Yaypan,1229
2447,Thai Honda,1229
2448,Tripple B,1229
2449,Al Shorta Al Qadarif,1229
2450,Deportiva Carmelita,1229
2451,Colón C-3,1229
2452,Morobe Wawens,1229
2453,Karmiotissa Pano Polemidion,1228
2454,Centro Ítalo,1228
2455,Real Tamale,1228
2456,Manu Ura,1228
2457,Al Urooba Club,1228
2458,Pasaquina F.C.,1228
2459,Persik Kediri,1228
2460,Club Atletico Pantoja,1228
2461,Hrvatski Dragovoljac,1228
2462,Slavija Sarajevo,1228
2463,Al Nasr FC,1228
2464,Deportivo Petare,1228
2465,Kalulushi Modern Stars,1227
2466,Pirin Gotse Delchev,1227
2467,Rojolu,1227
2468,Faulkland FC,1227
2469,FC Ma'an,1227
2470,Chapelton Maroons FC,1227
2471,Nitra,1227
2472,FK Podgorica,1227
2473,Trat FC,1227
2474,Tucanes FC,1227
2475,JL Chiangmai United FC,1227
2476,Bantous,1227
2477,GIF Sundsvall,1226
2478,Sigui,1226
2479,Persitara Jakarta,1226
2480,Al Ansar FC (Medina),1226
2481,FK Pohronie,1226
2482,Chiredzi FC,1226
2483,Wuhan Yangtze River,1226
2484,Daejeon Citizen,1226
2485,CD Olmedo,1226
2486,Siam Navy FC,1225
2487,United Sikkim F.C,1225
2488,FC Academia Chisinau,1225
2489,Apollon Smyrnis,1225
2490,Finn Harps,1225
2491,EFYM,1225
2492,AL Adalh FC,1225
2493,Porthmadog,1225
2494,NK Rudeš,1225
2495,Hoverla Uzhhorod,1225
2496,Jomo Cosmos,1225
2497,Atletico Socopo,1225
2498,Victoria,1225
2499,Kruoja Pakruojis,1225
2500,Ohod Saudi FC,1224
2501,Sporting Central Academy,1224
2502,Elmina Sharks,1224
2503,Mladost Velika,1224
2504,Douglas Warriors,1224
2505,Rivoli United,1224
2506,PS Kemi,1224
2507,Revan Baku,1224
2508,SD Atletico Nacional,1224
2509,Al Shabab Al Arabi Beirut,1224
2510,Air India,1224
2511,Jangorzo,1224
2512,ES Bingerville,1224
2513,Urena SC,1223
2514,Office Niger Sports,1223
2515,Al Mourada,1223
2516,Domant FC,1223
2517,Johvi FC Lokomotiv,1223
2518,SK Babīte,1223
2519,Vutuka,1223
2520,Lyngby,1223
2521,Lime Hotspurs,1223
2522,GOŠK Gabela,1223
2523,Montana,1223
2524,Persela Lamongan,1222
2525,AL Tadamon Sour,1222
2526,Porcelana FC,1222
2527,Debo Club,1222
2528,FB Gulbene,1222
2529,Atlético El Vigía,1222
2530,Xorazm,1222
2531,CAS de Sévaré,1222
2532,FC Kuressaare,1222
2533,Police FC,1222
2534,Konkola Mine Police,1221
2535,Buxoro,1221
2536,AS Eliwidj FC,1221
2537,Al Asalah,1221
2538,CA Bordj Bou Arreridj,1221
2539,FK Inđija,1221
2540,Al Akhaa Al Ahli,1221
2541,Songkhla United FC,1221
2542,Nakambala Leopards,1221
2543,AE Kouklion,1221
2544,Vidima-Rakovski,1221
2545,Hamilton Wanderers Afc,1221
2546,Al Ittihad Kalba,1221
2547,Karabükspor,1221
2548,San Juan Jabloteh,1220
2549,T&TEC,1220
2550,Smederevo,1220
2551,Caledonia AIA,1220
2552,Konkola Blades,1220
2553,Opava,1220
2554,Shortan Guzor,1220
2555,Madang,1220
2556,Tanta,1220
2557,FC Merani Tbilisi,1220
2558,Karvan,1219
2559,Atlético Chiriquí,1219
2560,UNAN Managua,1219
2561,C.D. Honduras Progreso,1219
2562,Machine Sazi FC,1219
2563,Eger,1219
2564,Tshinkunku,1219
2565,Alpha United,1219
2566,Orión,1218
2567,Borac Čačak,1218
2568,Shanghai Shenxin,1218
2569,Quelaton,1218
2570,Sport Lubango e Benfica,1218
2571,AS Lossi,1218
2572,Bontang PKT,1218
2573,Sporting Beirut,1218
2574,Yaracuyanos FC,1218
2575,1º de Maio,1218
2576,North Queensland Fury,1218
2577,Tenax CS FC,1218
2578,Welshpool Town,1218
2579,NK Zvijezda Gradacac,1218
2580,PTT Rayong FC,1217
2581,FK Spartaks,1217
2582,Montego Bay United,1217
2583,Hapoel Ashkelon,1217
2584,Wellington Phoenix Reserves,1217
2585,Wanderers SC,1217
2586,Adamawa United,1217
2587,Jazeerat Al Feel,1217
2588,FC KTP,1217
2589,AD Municipal Liberia,1217
2590,Corona Braşov,1217
2591,Tripoli AC,1217
2592,Anagennisi Deryneia,1216
2593,FC Samtredia,1216
2594,FC Dnyapro Mogilev,1216
2595,Naftan Novopolotsk,1216
2596,Stade Malien Sikasso,1216
2597,Qingdao FC,1216
2598,Tulevik Viljandi,1216
2599,FK Guliston,1216
2600,Dibba Al-Fujairah Club,1216
2601,Łódzki KS,1216
2602,Mont-Dore,1215
2603,Racing Beirut,1215
2604,RC Kinshasa,1215
2605,Tampines Rovers FC,1215
2606,Al Ittihad,1215
2607,Surkhon-2011,1215
2608,Kaliakra,1215
2609,San José,1215
2610,Səbail FK,1215
2611,El Nsoor,1215
2612,Atlético Veragüense,1215
2613,CD Junior Managua,1215
2614,Džiugas Telšiai,1215
2615,Al-Kharitiyat,1214
2616,Al-Yarmouk FC,1214
2617,Travnik,1214
2618,Universitario de Cobija,1214
2619,CD Sonsonate,1214
2620,Kozara Gradiška,1214
2621,Destroyers,1213
2622,Al-Dhafra,1213
2623,CF Ungheni,1213
2624,Lootus,1213
2625,FK Utenis Utena,1213
2626,Turan Tovuz,1213
2627,Kaya F.C.-Iloilo,1213
2628,FC Stumbras,1212
2629,Rudar Prijedor,1212
2630,Tonnerre Kalara Club,1212
2631,MOIK,1212
2632,FC Smorgon,1212
2633,Gagauziya,1212
2634,FK Skopje,1212
2635,Club Omnisports de Korhogo (CIV),1211
2636,Sporting de Cabinda,1211
2637,CSyD Nueva Concepción,1211
2638,Austria Kärnten,1211
2639,Atlético Marte,1210
2640,Sahab SC,1210
2641,Alacranes del Norte,1210
2642,Sisaket FC,1210
2643,Black Leopards,1209
2644,FC Carlos Stein,1209
2645,Raja Beni Mellal,1209
2646,FC Saxan,1209
2647,CD Petapa,1209
2648,Al Islah Bourg Shamaly,1209
2649,Croatia Sesvete,1209
2650,Juventus Bucureşti,1209
2651,Trujillanos FC,1209
2652,Sandals South Coast,1209
2653,Al-Mergheni,1209
2654,Llaneros de Guanare,1208
2655,Nadi,1208
2656,Caroní,1208
2657,Kitwe United,1208
2658,Ittihad Al-Ramtha,1208
2659,Svetkavitsa,1208
2660,Art Municipal Jalapa,1208
2661,Esteghlal Ahvaz,1208
2662,United City F.C.,1207
2663,Atar Club,1207
2664,FC Sioni Bolnisi,1207
2665,Falkenbergs FF,1206
2666,Samut Songkram,1206
2667,Al Shimali,1206
2668,Real Potosí,1206
2669,TOT,1206
2670,Dundee FC,1206
2671,Al-Nil,1206
2672,Chivas USA,1206
2673,Buildcon,1206
2674,Muaither SC,1206
2675,Estudiantes de Caracas,1206
2676,Jedinstvo BP,1205
2677,FK Jelgava,1205
2678,WhaWha,1205
2679,Juventus Managua,1204
2680,Sapovnela,1204
2681,UES,1203
2682,Bekaa SC,1203
2683,Fk Metalurg Skopje,1203
2684,FC Rustavi,1203
2685,Universidad San Martín de Porres,1203
2686,Real Mamoré,1203
2687,Lokomotivi Tbilisi,1203
2688,Lyubimets,1203
2689,Barbican FC,1203
2690,Fuerza Amarilla SC,1202
2691,Pápa,1202
2692,Brong Ahafo Stars,1201
2693,Academia Quintana,1201
2694,Carolina Gigantes,1201
2695,Northeast United FC,1201
2696,ACS FC Academica Clinceni,1200
2697,Smolevichy,1200
2698,Molynes United FC,1200
2699,FK Drina Zvornik,1200
2700,Chinandega FC,1200
2701,Vere United FC,1199
2702,Maardu Linnameeskond,1199
2703,Guaynabo Fluminense,1199
2704,Al Mesaimeer,1199
2705,Southern United,1198
2706,Mayagüez,1198
2707,Al Rabta Kosti,1198
2708,FK Palanga,1198
2709,Brommapojkarna,1197
2710,Zaprešić,1197
2711,Mornar,1197
2712,Dubai Club,1197
2713,Dinamo Bender,1197
2714,AL Hazem FC,1197
2715,FK Leotar,1196
2716,Gradina Srebrenik,1196
2717,WA Tlemcen,1196
2718,Persiraja Aceh,1195
2719,Caersws,1195
2720,Alki,1194
2721,That Ras Club,1194
2722,Shabab AL Ghazieh SC,1194
2723,Pelister,1193
2724,Lupe ole Soaga,1193
2725,Al-Shamal SC,1193
2726,Vitez,1193
2727,Hindustan Aero,1193
2728,Al Ahli SC Amman,1193
2729,FK Belasica Strumica,1193
2730,Kaposvári Rákóczi,1193
2731,FC Guria Lanchkhuti,1192
2732,Puerto Rico United,1191
2733,Indeni FC,1191
2734,Tupapa Maraerenga,1190
2735,Dinamo Samarkand,1190
2736,Ala'ab Damanhour,1190
2737,Noah Jūrmala,1190
2738,BBCU FC,1190
2739,Napredok,1190
2740,Rakvere JK Tarvas,1190
2741,JSM Skikda,1189
2742,HB Køge,1189
2743,Hatta,1189
2744,Klaipedos Granitas,1189
2745,CD Ocotal,1189
2746,FK Teteks,1189
2747,JS Kairouanaise,1188
2748,Air Force Central FC,1188
2749,Hajer FC Al-Hasa,1188
2750,Al-Hikma,1188
2751,Ballinamallard United,1187
2752,Fajardo,1187
2753,FK Tukums 2000,1187
2754,National Assembly,1186
2755,Reno FC,1186
2756,FK Gostivar,1185
2757,Afan Lido,1185
2758,Real Sociedad,1185
2759,Sporting Clube de Benguela,1185
2760,SK Super Nova,1185
2761,Al-Sareeh SC,1184
2762,Tatran Prešov,1183
2763,Ilukstes NSS,1183
2764,Mladost CD,1183
2765,FC Shukura Kobuleti,1181
2766,Dnepr Mogilev,1181
2767,Nistru,1181
2768,AC LALA FC,1180
2769,Banga Gargzdai,1180
2770,FK Sputnik Rechytsa,1180
2771,WIT Georgia Tbilisi,1180
2772,Vitosha Bistritsa,1179
2773,Al Egtmaaey Tripoli,1179
2774,La Paz,1178
2775,University College Dublin,1178
2776,Kiwi,1178
2777,Pobeda,1177
2778,Paernu Linnameeskond,1177
2779,Police,1177
2780,Salam Zgharta,1176
2781,Ayia Napa,1175
2782,FK Tauras Taurage,1174
2783,Berane,1174
2784,Institute FC,1174
2785,Ards,1174
2786,Young Heart Manawatu,1174
2787,Ajax Lasnamäe,1173
2788,Merani Martvili,1172
2789,Boys' Town,1172
2790,Nevėžis Kėdainiai,1171
2791,Arrows,1171
2792,Cefn Druids AFC,1170
2793,Real Madriz,1169
2794,Vereya,1169
2795,Al-Shaab,1169
2796,FC Floreşti,1168
2797,Al Fujairah,1167
2798,Tornados de Humacao,1166
2799,Niki Volou,1166
2800,Emirates Club,1166
2801,Mačva Šabac,1166
2802,Obod,1165
2803,Caguas Huracán,1165
2804,Newry City AFC,1165
2805,FC Zugdidi,1164
2806,Andijon,1163
2807,Longford Town,1161
2808,Talinna Kalev,1161
2809,Siauliai,1159
2810,Gresik United FC,1159
2811,FK Bačka Palanka,1158
2812,FC Torpedo Minsk,1156
2813,Al-Baqa'a SC,1156
2814,Tobago United,1153
2815,FOX Villa FC,1153
2816,FC Kolkheti-1913 Poti,1152
2817,Hebei F.C.,1151
2818,Carrick Rangers,1149
2819,FC Jurmala,1149
2820,Portadown FC,1139
2821,FC Codru Lozova,1138
2822,South End,1137
2823,Lietava Jonava,1136
2824,BFC Daugavpils,1135
2825,Metalurh Zaporizhya,1130
2826,Dainava Alytus,1128
2827,Pärnu JK Vaprus,1126
2828,Warrenpoint Town,1116
2829,Dungannon Swifts,1108
2830,FK Metta,1071
2831,La Horquetta Rangers FC,1068
