Club Rank,Club Name,Club Points
478,Curicó Unido,1440
479,St Patrick's,1440
480,Sampdoria,1440
481,Delfin SC,1440
482,FK Rostov,1440
483,Foolad Khuzestan,1440
484,Pumas UNAM,1439
485,Aris Limassol,1439
486,Nancy,1439
487,Koper,1439
488,Evian TG,1439
489,Pogoń Szczecin,1439
490,Arouca,1438
491,Club Deportivo Maldonado,1438
492,GFC Ajaccio,1438
493,GOL Gohar Sirjan FC,1438
494,Vorskla Poltava,1438
495,Daegu FC,1437
496,Unión La Calera,1437
497,FUS Rabat,1437
498,Santo André,1437
499,Vojvodina,1436
500,Banfield,1436
501,RKC Waalwijk,1436
502,Saint-Eloi Lupopo,1436
503,Mladá Boleslav,1436
504,Boavista,1435
505,Orlando Pirates,1435
506,Al-Wehdat SC,1435
507,Mura 05,1435
508,Heart of Midlothian,1435
509,Saint-Étienne,1434
510,Figueirense,1434
511,IFK Norrköping,1433
512,Linfield,1433
513,Sepsi OSK,1433
514,Metalurh Donetsk,1432
515,Bangor City,1432
516,Wuhan Three Towns F.C.,1432
517,Sunderland,1432
518,Puskás FC,1432
519,Muangthong United,1432
520,Palestino,1432
521,O'Higgins,1432
522,Reading,1431
523,Hércules,1431
524,Everton CD,1431
525,FC CSKA 1948 Sofia,1430
526,FC Vizela,1430
527,Dempo SC,1430
528,Sint-Truiden,1430
529,Vissel Kobe,1429
530,Chaves,1429
531,Cobresal,1429
532,SC Heerenveen,1429
533,Sporting Charleroi,1429
534,Hannover 96,1429
535,Venezia FC,1428
536,Portsmouth,1428
537,Jeju United,1428
538,Asante Kotoko,1428
539,Domžale,1427
540,Farul Constanța,1427
541,Melbourne City FC,1427
542,El Jaish (Doha),1427
543,NK Celje,1427
544,Plateau United,1427
545,FK Sarajevo,1426
546,Sport Huancayo,1426
547,Motema Pembe,1426
548,Brøndby,1426
549,Amiens SC,1426
550,Lugano,1426
551,Rapid Bucureşti,1425
552,Club Africain,1425
553,Krylya Sovetov Samara,1425
554,FC Ural,1425
555,FC Tokyo,1425
556,Cienciano,1425
557,Beijing Guoan,1424
558,MP Antalyaspor,1423
559,Guarani FC,1422
560,Troyes,1422
561,Slovan Liberec,1422
562,All Boys,1422
563,Tractor Sazi,1422
564,Real España,1422
565,Al Taawon,1421
566,Metz,1421
567,Deportivo Heredia,1421
568,Atlético San Luis,1421
569,Deportivo Cali,1421
570,NEC Nijmegen,1421
571,Boston River,1420
572,Atlético Rafaela,1420
573,Bordeaux,1420
574,Envigado,1420
575,RSB Berkane,1420
576,St. Pauli,1420
577,Nordsjælland,1420
578,Deportivo Cuenca,1419
579,JS Kabylie,1419
580,Kaiserslautern,1419
581,Caracas,1419
582,Olympique de Bamako,1419
583,Austria Wien,1419
584,Sharjah Cultural Club,1418
585,FC Platinum,1418
586,CD Santa Clara,1418
587,Necaxa,1417
588,Once Caldas,1416
589,Nashville SC,1416
590,Highlanders,1416
591,Moskva,1416
592,FC Ruh Brest,1416
593,Slavia Sofia,1416
594,FC Dinamo Batumi,1416
595,Enyimba,1416
596,Crotone,1416
597,Jablonec,1416
598,Bohemians 1905,1416
599,US Cremonese,1415
600,Guingamp,1415
601,AS Réal Bamako,1415
602,Vålerenga,1415
603,Cercle Brugge,1414
604,Avaí FC,1414
605,Akwa United,1413
606,IFK Göteborg,1413
607,Kalmar FF,1413
608,Watford,1413
609,Kaizer Chiefs,1413
610,Santa Cruz,1412
611,Estoril,1412
612,Kayserispor,1412
613,Viitorul Constanţa,1412
614,Gazişehir Gaziantep FK,1412
615,Schalke 04,1412
616,Portland Timbers,1412
617,Metalist Kharkiv,1412
618,Deportivo Táchira,1411
619,Gunners,1411
620,New England Revolution,1411
621,Luzern,1411
622,FC Inter Turku (FIN),1411
623,Kisvárda Master Good,1411
624,Defensor Sporting,1411
625,Amkar Perm',1411
626,MC Alger,1411
627,PFC Lokomotiv Sofia 1929,1410
628,Kasımpaşa,1410
629,Torpedo Zhodino,1410
630,ATK Mohun Bagan FC,1409
631,Future FC,1409
632,Supersport United,1409
633,Montevideo Wanderers,1408
634,Wolfsberger AC,1408
635,Benevento,1408
636,Mahindra United,1408
637,Lillestrøm,1407
638,Guastatoya,1407
639,Kuban' Krasnodar,1406
640,Riga FC,1406
